ID,Nombre,Entidad,Red,Longitud,Latitud,Precip
ELZA,EL ZARCO,MEXICO,SACMEX,"-99,3529","19,2954","932,1487143"
SAFA,SAN FRANCISCO,CIUDAD DE MEXICO,SACMEX,"-99,2392","19,3118","820,9102857"
RIMA,RIO MAGDALENA,CIUDAD DE MEXICO,SACMEX,"-99,2646","19,2888","987,3544286"
MOAL,MONTE ALEGRE,CIUDAD DE MEXICO,SACMEX,"-99,2802","19,2299","961,0397692"
PLXO,PLANTA XOTEPINGO,CIUDAD DE MEXICO,SACMEX,"-99,1446","19,3329","559,7666667"
ACUL,ACULCO,CIUDAD DE MEXICO,SACMEX,"-99,0998","19,3792","508,5541429"
UNEJ,UNIDAD EJERCITO DE OTE,CIUDAD DE MEXICO,SACMEX,"-99,0372","19,3797","407,8836"
CEES,PTA CERRO DE LA ESTRELLA,CIUDAD DE MEXICO,SACMEX,"-99,0773","19,3372","489,3756429"
LACA,LA CALDERA,MEXICO,SACMEX,"-98,9751","19,3394","401,9061538"
SACA,P T SANTA CATARINA,CIUDAD DE MEXICO,SACMEX,"-99,0264","19,3018","427,0887857"
TLAH,TLAHUAC,CIUDAD DE MEXICO,SACMEX,"-99,0129","19,2829","449,1808571"
BOTL,BOSQUE DE TLALPAN,CIUDAD DE MEXICO,SACMEX,"-99,1952","19,2925","635,5910714"
VICO,VILLA COAPA,CIUDAD DE MEXICO,SACMEX,"-99,1266","19,2865","579,9823333"
SAPE,SAN PEDRO MARTIR,CIUDAD DE MEXICO,SACMEX,"-99,1701",19263,"662,6023846"
AJUS,AJUSCO,CIUDAD DE MEXICO,SACMEX,"-99,2107","19,2192","912,2962222"
TOPI,TOPILEJO,CIUDAD DE MEXICO,SACMEX,"-99,1305","19,2034","661,0733077"
CAFO,CASETA FORESTAL (PARREZ),CIUDAD DE MEXICO,SACMEX,"-99,1716","19,1373","880,0896923"
GAVM,OF GAVM SUR,CIUDAD DE MEXICO,SACMEX,"-99,0987","19,3184","527,6870769"
PLNA,PLANTA NATIVITAS,CIUDAD DE MEXICO,SACMEX,"-99,0904","19,2471","541,8294615"
MILP,MILPA ALTA,CIUDAD DE MEXICO,SACMEX,"-99,0274","19,1872","511,44688"
BARR,BARRIENTOS,MEXICO,SACMEX,"-99,1848",19581,"532,6221667"
VASO,VASO DE CRISTO,MEXICO,SACMEX,"-99,2137",19511,"583,6841429"
CHI2,CHICONAHUTLA II,MEXICO,SACMEX,"-99,1084","19,5157","497,0673333"
PALM,PALMAS,MEXICO,SACMEX,-99255,"19,43","760,4596"
ELVE,EL VENADO,MEXICO,SACMEX,"-99,3345","19,3837","907,8137692"
